Wk;Day;Date;Time;Home;xG;Score;xG;Away;Venue
14;Sun;03/12/2023;13:00;Le Havre;2.0;0–2;1.2;Paris S-G;Stade Océane
14;Sun;03/12/2023;15:00;Monaco;2.2;2–0;0.9;Montpellier;Stade Louis II
14;Sun;03/12/2023;15:00;Brest;1.4;3–0;0.8;Clermont Foot;Stade Francis-Le Blé
14;Sun;03/12/2023;15:00;Toulouse;1.0;1–1;0.8;Lorient;Stadium Municipal
14;Sun;03/12/2023;17:05;Lille;2.9;2–0;1.9;Metz;Decathlon Arena - Stade Pierre-Mauroy
14;Sun;03/12/2023;20:45;Marseille;0.9;2–0;0.6;Rennes;Orange Vélodrome
10;Wed;06/12/2023;21:00;Marseille;2.2;3–0;0.2;Lyon;Orange Vélodrome
12;Thu;07/12/2023;20:30;Brest;1.1;1–1;1.5;Strasbourg;Stade Francis-Le Blé
15;Fri;08/12/2023;21:00;Montpellier;1.3;0–0;1.1;Lens;Stade de la Mosson
15;Sat;09/12/2023;17:00;Rennes;1.7;1–2;0.9;Monaco;Roazhon Park
15;Sat;09/12/2023;21:00;Paris S-G;2.0;2–1;0.5;Nantes;Parc des Princes
15;Sun;10/12/2023;13:00;Nice;0.9;2–1;1.3;Reims;Stade de Nice
15;Sun;10/12/2023;15:00;Strasbourg;1.6;2–1;1.3;Le Havre;Stade de la Meinau
15;Sun;10/12/2023;15:00;Metz;0.2;0–1;0.3;Brest;Stade Saint-Symphorien
15;Sun;10/12/2023;15:00;Clermont Foot;1.3;0–0;1.0;Lille;Stade Gabriel Montpied
15;Sun;10/12/2023;17:05;Lyon;1.7;3–0;1.5;Toulouse;Groupama Stadium
15;Sun;10/12/2023;20:45;Lorient;2.2;2–4;2.3;Marseille;Stade du Moustoir
16;Fri;15/12/2023;21:00;Monaco;1.3;0–1;0.7;Lyon;Stade Louis II
16;Sat;16/12/2023;17:00;Le Havre;2.1;3–1;1.9;Nice;Stade Océane
16;Sat;16/12/2023;21:00;Lens;1.3;2–0;1.1;Reims;Stade Bollaert-Delelis
16;Sun;17/12/2023;13:00;Nantes;1.0;0–2;1.9;Brest;Stade de la Beaujoire - Louis Fonteneau
16;Sun;17/12/2023;15:00;Toulouse;0.9;0–0;0.7;Rennes;Stadium Municipal
16;Sun;17/12/2023;15:00;Lorient;0.8;1–2;0.9;Strasbourg;Stade du Moustoir
16;Sun;17/12/2023;15:00;Metz;0.8;0–1;0.5;Montpellier;Stade Saint-Symphorien
16;Sun;17/12/2023;17:05;Marseille;2.4;2–1;0.2;Clermont Foot;Orange Vélodrome
16;Sun;17/12/2023;20:45;Lille;1.4;1–1;1.4;Paris S-G;Decathlon Arena - Stade Pierre-Mauroy
17;Wed;20/12/2023;21:00;Lyon;1.7;1–0;0.5;Nantes;Groupama Stadium
17;Wed;20/12/2023;21:00;Reims;1.2;1–0;0.2;Le Havre;Stade Auguste-Delaune
17;Wed;20/12/2023;21:00;Nice;2.5;2–0;0.5;Lens;Stade de Nice
17;Wed;20/12/2023;21:00;Paris S-G;2.4;3–1;0.1;Metz;Parc des Princes
17;Wed;20/12/2023;21:00;Strasbourg;0.8;2–1;0.5;Lille;Stade de la Meinau
17;Wed;20/12/2023;21:00;Toulouse;1.4;1–2;1.9;Monaco;Stadium Municipal
17;Wed;20/12/2023;21:00;Brest;2.0;4–0;0.5;Lorient;Stade Francis-Le Blé
17;Wed;20/12/2023;21:00;Montpellier;0.9;1–1;1.3;Marseille;Stade de la Mosson
17;Wed;20/12/2023;21:00;Clermont Foot;0.6;1–3;2.5;Rennes;Stade Gabriel Montpied
18;Fri;12/01/2024;21:00;Marseille;1.4;1–1;1.2;Strasbourg;Orange Vélodrome
18;Sat;13/01/2024;17:00;Monaco;1.2;1–3;1.5;Reims;Stade Louis II
18;Sat;13/01/2024;21:00;Rennes;2.0;2–0;0.7;Nice;Roazhon Park
18;Sun;14/01/2024;13:00;Lille;2.3;3–0;0.1;Lorient;Decathlon Arena - Stade Pierre-Mauroy
18;Sun;14/01/2024;15:00;Brest;3.4;2–0;0.4;Montpellier;Stade Francis-Le Blé
18;Sun;14/01/2024;15:00;Nantes;1.9;1–2;1.0;Clermont Foot;Stade de la Beaujoire - Louis Fonteneau
18;Sun;14/01/2024;15:00;Metz;0.7;0–1;1.0;Toulouse;Stade Saint-Symphorien
18;Sun;14/01/2024;17:05;Le Havre;1.2;3–1;0.8;Lyon;Stade Océane
18;Sun;14/01/2024;20:45;Lens;2.1;0–2;1.8;Paris S-G;Stade Bollaert-Delelis
19;Fri;26/01/2024;21:00;Lyon;0.9;2–3;0.8;Rennes;Groupama Stadium
19;Sat;27/01/2024;17:00;Nice;2.2;1–0;0.1;Metz;Stade de Nice
